"FullName","Extension","Length","LastWriteTime"
"C:\EAR_OS_V2\.A hoja de ruta despues de la busqueda de datos .txt",".txt","51655","03/08/2026 10:51:35"
"C:\EAR_OS_V2\.clineignore",".clineignore","86","29/07/2026 22:35:43"
"C:\EAR_OS_V2\.clinerules",".clinerules","5675","13/05/2026 17:37:34"
"C:\EAR_OS_V2\.docx",".docx","14170","29/07/2026 20:27:14"
"C:\EAR_OS_V2\.env",".env","2480","01/08/2026 10:54:35"
"C:\EAR_OS_V2\.env.backup_2026-08-01",".backup_2026-08-01","2480","01/08/2026 10:54:35"
"C:\EAR_OS_V2\.env.local",".local","1827","27/07/2026 20:35:15"
"C:\EAR_OS_V2\.env.local.backup_2026-08-01",".backup_2026-08-01","1827","27/07/2026 20:35:15"
"C:\EAR_OS_V2\.env.production",".production","1890","19/05/2026 18:15:00"
"C:\EAR_OS_V2\.env.vercel.production",".production","2093","19/05/2026 17:20:28"
"C:\EAR_OS_V2\.eslintignore",".eslintignore","81","12/05/2026 14:40:05"
"C:\EAR_OS_V2\.eslintrc.json",".json","387","18/05/2026 20:53:42"
"C:\EAR_OS_V2\.gitignore",".gitignore","519","31/07/2026 1:33:32"
"C:\EAR_OS_V2\.npmrc",".npmrc","22","12/05/2026 15:18:57"
"C:\EAR_OS_V2\.vercelignore",".vercelignore","285","12/05/2026 15:20:44"
"C:\EAR_OS_V2\00_MOC_MAESTRO.md",".md","377","19/05/2026 16:36:21"
"C:\EAR_OS_V2\AuraWallet.md",".md","0","19/05/2026 17:17:57"
"C:\EAR_OS_V2\CLINE_RULES_V2.md",".md","2197","12/05/2026 10:57:53"
"C:\EAR_OS_V2\CLINE_RULES_V3.md",".md","14069","01/08/2026 20:41:52"
"C:\EAR_OS_V2\Cómo_jubilar_al_Cumpleaños y las mañanitas podcast.m4a",".m4a","25709783","01/08/2026 22:34:45"
"C:\EAR_OS_V2\DEPLOYCERTIFICATE.md",".md","1357","14/05/2026 11:41:55"
"C:\EAR_OS_V2\Dominancia_EAR_SClass - copia.ps1",".ps1","2856","29/07/2026 17:56:38"
"C:\EAR_OS_V2\Dominancia_EAR_v2_LEGACY.ps1",".ps1","9198","31/07/2026 14:34:53"
"C:\EAR_OS_V2\Dominancia_EAR_v3_DOMINANCIA_OK.ps1",".ps1","5058","31/07/2026 15:59:42"
"C:\EAR_OS_V2\Dominancia_EAR_v3_PRE_COMPATIBILIDAD.ps1",".ps1","4843","31/07/2026 15:58:50"
"C:\EAR_OS_V2\Dominancia_EAR_v3.ps1",".ps1","5030","31/07/2026 16:04:44"
"C:\EAR_OS_V2\Dominancia_EAR.ps1",".ps1","2742","29/07/2026 9:55:55"
