Fecha,Clics,Impresiones,CTR,Posición
2026-08-20,0,412,0%,65.4
2026-08-21,1,588,0.17%,57.6
2026-08-22,0,817,0%,57.7
2026-08-23,2,1459,0.14%,52.8
2026-08-24,3,1724,0.17%,52.1
2026-08-25,3,2630,0.11%,53.8
2026-08-26,7,3663,0.19%,54.7
2026-08-27,1,2304,0.04%,51.9
2026-08-28,3,2198,0.14%,50.4
2026-08-29,1,1737,0.06%,50.6
2026-08-30,2,1286,0.16%,49.5
2026-08-31,3,1647,0.18%,51.5
2026-09-01,2,1211,0.17%,51.3
2026-09-02,3,1037,0.29%,45.4
2026-09-03,3,830,0.36%,42
2026-09-04,4,873,0.46%,44.2
2026-09-05,1,1045,0.1%,40.7
2026-09-06,2,1253,0.16%,42.1
2026-09-07,3,2223,0.13%,48.2
2026-09-08,9,1186,0.76%,45.7
