País,Clics,Impresiones,CTR,Posición
España,52,29068,0.18%,51.31
Marruecos,1,7,14.29%,31.43
Reino Unido,0,171,0%,51.25
Estados Unidos,0,121,0%,23.41
México,0,116,0%,21.47
Chile,0,71,0%,10.89
Uruguay,0,61,0%,10.49
Colombia,0,61,0%,14.49
Perú,0,56,0%,11.05
La India,0,43,0%,58.07
Francia,0,34,0%,26.53
Argentina,0,31,0%,29.06
Países Bajos,0,26,0%,10.81
Alemania,0,23,0%,10.65
Brasil,0,21,0%,40.38
Irlanda,0,21,0%,60.29
Filipinas,0,19,0%,48.05
Italia,0,12,0%,8.25
Suiza,0,12,0%,9
Indonesia,0,12,0%,68.5
Ecuador,0,9,0%,34.33
Corea del Sur,0,9,0%,49.56
Bangladés,0,9,0%,59.33
Portugal,0,6,0%,10.33
Bélgica,0,5,0%,9
Pakistán,0,5,0%,27.2
Vietnam,0,5,0%,56.4
Argelia,0,5,0%,73.2
República Dominicana,0,4,0%,22.5
Tailandia,0,4,0%,29.5
Rusia,0,4,0%,36.25
Turquía,0,4,0%,46.25
Etiopía,0,4,0%,61
Bolivia,0,3,0%,33.33
Sudáfrica,0,3,0%,45.67
Venezuela,0,2,0%,2
Polonia,0,2,0%,5.5
China,0,2,0%,9
Andorra,0,2,0%,9.5
Canadá,0,2,0%,9.5
Japón,0,2,0%,13.5
Noruega,0,2,0%,15.5
Australia,0,2,0%,23
Arabia Saudí,0,2,0%,23
Rumanía,0,2,0%,23.5
Costa Rica,0,2,0%,34
Irán,0,2,0%,38.5
Kenia,0,2,0%,57.5
Ucrania,0,2,0%,57.5
Egipto,0,2,0%,60
Ruanda,0,2,0%,69
Israel,0,2,0%,73.5
Panamá,0,1,0%,6
Grecia,0,1,0%,7
Tanzania,0,1,0%,7
Eslovaquia,0,1,0%,8
Mozambique,0,1,0%,9
Emiratos Árabes Unidos,0,1,0%,10
Belice,0,1,0%,11
Estonia,0,1,0%,11
Gibraltar,0,1,0%,11
Nicaragua,0,1,0%,11
Trinidad y Tobago,0,1,0%,11
Omán,0,1,0%,19
Líbano,0,1,0%,28
Angola,0,1,0%,29
Lituania,0,1,0%,37
Costa de Marfil,0,1,0%,42
Paraguay,0,1,0%,52
Taiwán,0,1,0%,58
Honduras,0,1,0%,71
Guatemala,0,1,0%,74
Kirguistán,0,1,0%,78
Malasia,0,1,0%,80
Suecia,0,1,0%,84
Bulgaria,0,1,0%,100
