Fecha,Clics,Impresiones,CTR,Posición
2026-02-16,0,0,,
2026-02-17,2,6,33.33%,1.8
2026-02-18,2,12,16.67%,1.8
2026-02-19,2,3,66.67%,2
2026-02-20,0,3,0%,31.7
2026-02-21,1,2,50%,1
2026-02-22,1,2,50%,4.5
2026-02-23,3,276,1.09%,42.8
2026-02-24,9,707,1.27%,42.1
2026-02-25,9,929,0.97%,41.4
2026-02-26,5,618,0.81%,40
2026-02-27,6,502,1.2%,42.4
2026-02-28,3,234,1.28%,45.9
2026-03-01,5,172,2.91%,48.4
2026-03-02,2,172,1.16%,42.9
2026-03-03,3,187,1.6%,39.6
2026-03-04,3,132,2.27%,35.2
2026-03-05,0,116,0%,36.7
2026-03-06,0,116,0%,32.2
2026-03-07,0,140,0%,34.9
2026-03-08,1,160,0.62%,41
2026-03-09,2,171,1.17%,33
2026-03-10,1,196,0.51%,30.1
2026-03-11,0,171,0%,34.8
2026-03-12,7,190,3.68%,30.4
2026-03-13,2,191,1.05%,34
2026-03-14,0,299,0%,35.3
2026-03-15,0,142,0%,39.5
2026-03-16,6,246,2.44%,33.9
2026-03-17,3,147,2.04%,29.5
2026-03-18,1,138,0.72%,21.8
2026-03-19,2,109,1.83%,19.8
2026-03-20,3,94,3.19%,23.7
2026-03-21,0,95,0%,23.6
2026-03-22,0,101,0%,24.5
2026-03-23,1,106,0.94%,23.4
2026-03-24,1,77,1.3%,16.8
2026-03-25,1,89,1.12%,14.1
2026-03-26,1,91,1.1%,15.2
2026-03-27,2,76,2.63%,15.8
2026-03-28,0,90,0%,18.5
2026-03-29,0,94,0%,20
2026-03-30,0,109,0%,18.2
2026-03-31,0,102,0%,19.8
2026-04-01,1,128,0.78%,18.3
2026-04-02,0,88,0%,23
2026-04-03,0,80,0%,25.2
2026-04-04,0,95,0%,20.5
2026-04-05,0,88,0%,22.5
2026-04-06,0,91,0%,19.7
2026-04-07,0,86,0%,23.9
2026-04-08,1,91,1.1%,23.9
2026-04-09,0,72,0%,24.2
2026-04-10,0,68,0%,22.4
2026-04-11,0,58,0%,25.4
2026-04-12,0,62,0%,25.2
2026-04-13,1,69,1.45%,24.8
2026-04-14,0,70,0%,26
2026-04-15,0,71,0%,24.8
2026-04-16,0,72,0%,29.1
2026-04-17,1,73,1.37%,26.6
2026-04-18,0,53,0%,27.9
2026-04-19,0,53,0%,27
2026-04-20,0,54,0%,24.4
2026-04-21,1,55,1.82%,25.3
2026-04-22,1,46,2.17%,26
2026-04-23,0,32,0%,30
2026-04-24,1,28,3.57%,27
2026-04-25,0,18,0%,29.8
2026-04-26,0,34,0%,24.9
2026-04-27,0,33,0%,25.7
2026-04-28,1,29,3.45%,26.8
2026-04-29,1,31,3.23%,29.7
2026-04-30,0,16,0%,31.8
2026-05-01,0,23,0%,28.4
2026-05-02,1,35,2.86%,29.8
2026-05-03,0,34,0%,36.4
2026-05-04,0,46,0%,27
2026-05-05,0,37,0%,34.6
2026-05-06,0,32,0%,29.6
2026-05-07,0,37,0%,30.9
2026-05-08,0,34,0%,31.6
2026-05-09,0,40,0%,32
2026-05-10,0,59,0%,30.6
2026-05-11,0,64,0%,30.6
2026-05-12,0,81,0%,38.3
2026-05-13,0,114,0%,30.3
2026-05-14,1,82,1.22%,32.5
2026-05-15,1,99,1.01%,38.5
2026-05-16,0,193,0%,50
2026-05-17,0,202,0%,50.9
2026-05-18,0,182,0%,50.7
2026-05-19,1,185,0.54%,49.2
2026-05-20,1,180,0.56%,47.9
2026-05-21,0,157,0%,53.8
2026-05-22,0,144,0%,57
2026-05-23,0,152,0%,55.8
2026-05-24,1,171,0.58%,51.9
2026-05-25,1,174,0.57%,53.1
2026-05-26,2,150,1.33%,54.8
2026-05-27,0,149,0%,54.2
2026-05-28,0,130,0%,51.9
2026-05-29,0,81,0%,51.2
2026-05-30,0,16,0%,34.6
2026-05-31,0,10,0%,25.8
2026-06-01,0,14,0%,34.9
2026-06-02,0,8,0%,35
2026-06-03,0,12,0%,39.9
2026-06-04,0,12,0%,36.7
2026-06-05,0,6,0%,49.2
2026-06-06,0,17,0%,52.7
2026-06-07,0,10,0%,53.3
2026-06-08,0,21,0%,49.9
2026-06-09,0,12,0%,45.7
2026-06-10,0,14,0%,29.6
2026-06-11,2,16,12.5%,39.4
2026-06-12,0,18,0%,39.8
2026-06-13,1,12,8.33%,50.8
2026-06-14,0,13,0%,33.7
2026-06-15,0,22,0%,55.5
2026-06-16,0,21,0%,53
2026-06-17,0,46,0%,53.3
2026-06-18,0,33,0%,55
2026-06-19,0,19,0%,49.1
2026-06-20,0,24,0%,49.5
2026-06-21,0,23,0%,42.7
2026-06-22,2,27,7.41%,40.6
2026-06-23,0,21,0%,39.3
2026-06-24,1,23,4.35%,34.1
2026-06-25,0,11,0%,47.6
2026-06-26,0,11,0%,36.3
2026-06-27,0,14,0%,42.1
2026-06-28,0,13,0%,44.2
2026-06-29,1,17,5.88%,32.4
2026-06-30,0,10,0%,50
2026-07-01,0,13,0%,26.3
2026-07-02,0,2,0%,54.5
2026-07-03,0,3,0%,42.7
2026-07-04,0,5,0%,53.6
2026-07-05,1,7,14.29%,29.3
2026-07-06,0,17,0%,32.2
2026-07-07,0,11,0%,39.2
2026-07-08,0,9,0%,40.3
2026-07-09,0,6,0%,35.3
2026-07-10,0,4,0%,53.2
2026-07-11,0,15,0%,34.9
2026-07-12,0,9,0%,51.1
2026-07-13,0,11,0%,31.1
2026-07-14,0,8,0%,29.6
2026-07-15,0,4,0%,25
2026-07-16,0,11,0%,41.2
2026-07-17,0,4,0%,21.8
2026-07-18,0,5,0%,41.8
2026-07-19,0,9,0%,49.2
2026-07-20,0,19,0%,61.1
2026-07-21,0,14,0%,59.7
