País,Clics,Impresiones,CTR,Posición
España,113,13098,0.86%,39.24
Estados Unidos,6,263,2.28%,7.5
México,2,126,1.59%,30.9
Chile,2,68,2.94%,39.03
Ecuador,1,18,5.56%,11.39
Suiza,1,7,14.29%,4.57
Argentina,0,43,0%,15.91
Reino Unido,0,30,0%,17.9
Países Bajos,0,29,0%,25.48
Canadá,0,24,0%,3.83
Brasil,0,19,0%,6.79
Colombia,0,19,0%,14.42
Francia,0,14,0%,10.14
La India,0,14,0%,27.64
Alemania,0,13,0%,18.85
Italia,0,11,0%,8.09
Portugal,0,8,0%,6.38
Polonia,0,6,0%,5.83
República Dominicana,0,6,0%,37
Rumanía,0,5,0%,3.8
Chequia,0,5,0%,5.2
Guatemala,0,5,0%,6.4
Perú,0,5,0%,8.2
Australia,0,5,0%,9.4
Japón,0,5,0%,9.8
Indonesia,0,5,0%,21.6
Vietnam,0,4,0%,22.25
Argelia,0,3,0%,2.33
Noruega,0,3,0%,6
Venezuela,0,3,0%,9.67
Emiratos Árabes Unidos,0,2,0%,3.5
Bolivia,0,2,0%,3.5
Croacia,0,2,0%,5
Eslovenia,0,2,0%,5.5
Uruguay,0,2,0%,7
Bielorrusia,0,2,0%,9
Hungría,0,2,0%,9.5
Irlanda,0,2,0%,11
Bosnia y Herzegovina,0,2,0%,11.5
Yemen,0,2,0%,14
Marruecos,0,1,0%,1
Qatar,0,1,0%,1
Suecia,0,1,0%,1
Tailandia,0,1,0%,1
Macedonia del Norte,0,1,0%,2
Filipinas,0,1,0%,2
Ucrania,0,1,0%,2
Austria,0,1,0%,3
Irán,0,1,0%,3
Costa Rica,0,1,0%,4
Panamá,0,1,0%,5
Túnez,0,1,0%,6
Egipto,0,1,0%,7
Bahamas,0,1,0%,8
China,0,1,0%,8
Puerto Rico,0,1,0%,8
Singapur,0,1,0%,9
Bangladés,0,1,0%,10
Honduras,0,1,0%,10
Lituania,0,1,0%,10
Camerún,0,1,0%,11
Luxemburgo,0,1,0%,11
Nueva Zelanda,0,1,0%,11
Arabia Saudí,0,1,0%,11
Turquía,0,1,0%,12
Azerbaiyán,0,1,0%,15
Pakistán,0,1,0%,15
Hong Kong,0,1,0%,16
Rusia,0,1,0%,16
Letonia,0,1,0%,20
