Fecha,Sin indexar,Indexadas,Impresiones
2026-02-16,,,0
2026-02-17,,,6
2026-02-18,,,12
2026-02-19,,,3
2026-02-20,,,3
2026-02-21,3,4,2
2026-02-22,266,2595,2
2026-02-23,266,2595,276
2026-02-24,266,2595,707
2026-02-25,739,2551,929
2026-02-26,739,2551,618
2026-02-27,739,2551,502
2026-02-28,739,2551,234
2026-03-01,739,2551,172
2026-03-02,739,2551,172
2026-03-03,739,2551,187
2026-03-04,820,2556,132
2026-03-05,820,2556,116
2026-03-06,820,2556,116
2026-03-07,820,2556,140
2026-03-08,785,2604,160
2026-03-09,785,2604,171
2026-03-10,785,2604,196
2026-03-11,1035,2373,171
2026-03-12,1035,2373,190
2026-03-13,1035,2373,191
2026-03-14,1035,2373,299
2026-03-15,1035,2373,142
2026-03-16,1062,2347,246
2026-03-17,1062,2347,147
2026-03-18,1866,1776,138
2026-03-19,1866,1776,109
2026-03-20,1866,1776,94
2026-03-21,1866,1776,95
2026-03-22,1942,1700,101
2026-03-23,1942,1700,106
2026-03-24,1942,1700,77
2026-03-25,2200,1442,89
2026-03-26,2200,1442,91
2026-03-27,2200,1442,76
2026-03-28,2200,1442,90
2026-03-29,2349,1299,94
2026-03-30,2349,1299,109
2026-03-31,2349,1299,102
2026-04-01,2356,1292,128
2026-04-02,2356,1292,88
2026-04-03,2356,1292,80
2026-04-04,2356,1292,95
2026-04-05,2396,1252,88
2026-04-06,2396,1252,91
2026-04-07,2472,1176,86
2026-04-08,2472,1176,91
2026-04-09,2472,1176,72
2026-04-10,2472,1176,68
2026-04-11,2487,1162,58
2026-04-12,2487,1162,62
2026-04-13,2487,1162,69
2026-04-14,2601,1048,70
2026-04-15,2601,1048,71
2026-04-16,2601,1048,72
2026-04-17,2601,1048,73
2026-04-18,2728,888,53
2026-04-19,2728,888,53
2026-04-20,2728,888,54
2026-04-21,2950,666,55
2026-04-22,2950,666,46
2026-04-23,2950,666,32
2026-04-24,2950,666,28
2026-04-25,3098,518,18
2026-04-26,3098,518,34
2026-04-27,3098,518,33
2026-04-28,4927,482,29
2026-04-29,4927,482,31
2026-04-30,4927,482,16
2026-05-01,4927,482,23
2026-05-02,4991,417,35
2026-05-03,4991,417,34
2026-05-04,4991,417,46
2026-05-05,5298,392,37
2026-05-06,5298,392,32
2026-05-07,5298,392,37
2026-05-08,5298,392,34
