País,Clics,Impresiones,CTR,Posición
España,88,9178,0.96%,34.51
Estados Unidos,6,203,2.96%,6.48
México,2,79,2.53%,31.82
Chile,2,68,2.94%,39.03
Ecuador,1,13,7.69%,10.77
Suiza,1,7,14.29%,4.57
Argentina,0,39,0%,16.46
Reino Unido,0,25,0%,13.92
Países Bajos,0,23,0%,27.74
Canadá,0,21,0%,4.19
Brasil,0,18,0%,6.56
Colombia,0,18,0%,9.89
Francia,0,13,0%,9.31
Italia,0,9,0%,7.56
La India,0,9,0%,8.11
Alemania,0,9,0%,15.11
Portugal,0,7,0%,6.29
Rumanía,0,5,0%,3.8
Chequia,0,5,0%,5.2
Polonia,0,5,0%,6
Japón,0,5,0%,9.8
República Dominicana,0,4,0%,7.75
Australia,0,4,0%,11.5
Indonesia,0,4,0%,17.25
Argelia,0,3,0%,2.33
Noruega,0,3,0%,6
Perú,0,3,0%,8.33
Vietnam,0,3,0%,10.33
Emiratos Árabes Unidos,0,2,0%,3.5
Bolivia,0,2,0%,3.5
Eslovenia,0,2,0%,5.5
Uruguay,0,2,0%,7
Bielorrusia,0,2,0%,9
Venezuela,0,2,0%,9
Hungría,0,2,0%,9.5
Irlanda,0,2,0%,11
Bosnia y Herzegovina,0,2,0%,11.5
Yemen,0,2,0%,14
Marruecos,0,1,0%,1
Qatar,0,1,0%,1
Suecia,0,1,0%,1
Tailandia,0,1,0%,1
Macedonia del Norte,0,1,0%,2
Filipinas,0,1,0%,2
Ucrania,0,1,0%,2
Austria,0,1,0%,3
Irán,0,1,0%,3
Costa Rica,0,1,0%,4
Panamá,0,1,0%,5
Túnez,0,1,0%,6
Egipto,0,1,0%,7
Bahamas,0,1,0%,8
China,0,1,0%,8
Guatemala,0,1,0%,8
Puerto Rico,0,1,0%,8
Croacia,0,1,0%,9
Singapur,0,1,0%,9
Bangladés,0,1,0%,10
Honduras,0,1,0%,10
Lituania,0,1,0%,10
Camerún,0,1,0%,11
Luxemburgo,0,1,0%,11
Nueva Zelanda,0,1,0%,11
Arabia Saudí,0,1,0%,11
Turquía,0,1,0%,12
Azerbaiyán,0,1,0%,15
Pakistán,0,1,0%,15
Hong Kong,0,1,0%,16
Letonia,0,1,0%,20
