"Path","Category","Status","DuplicateInRoot"
"C:\EAR_OS_V2\01_SSOT_Y_KERNELS\CLINE_OMEGA_KERNEL.md","Active Document","Active & Verified","N/A"
"C:\EAR_OS_V2\01_SSOT_Y_KERNELS\EAR_OS_STRATEGIC_ORCHESTRATOR_PLAN.md","Active Document","Active & Verified","N/A"
"H:\99_CUARENTENA\vault_purged_2026_05_18\About.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\AdditionalServices.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\AdvancedSearchGrid.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\AeoRadar.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\AnimatedStats.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\ArtistPortal.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\ArtistsSection.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\Blog.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\BusinessServices.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\Contact.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\EarLogo.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\EventsSection.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\Features.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\Hero.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\MarketingSkills.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\PricingTable.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\ProfesorIA.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\RentalSection.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\SocialImpactHome.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\SocialProjects.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\Stats.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\Testimonials.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\VideoServices.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\WeddingsSection.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\_quarantine","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\api","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\events","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\hunter","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\ingestion","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\leads","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\position","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\scan","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\status","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\vampirizer","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\boe_predator.ts","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\EarCommandCenter.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\layout.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\LogisticsService.ts","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\marketActions.ts","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\OmnibusTracker.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\OmnibusVertical.tsx","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\purga_2026_05_18\SClass.d.ts","Quarantined Legacy","Quarantined","Clean (Extracted)"
"H:\99_CUARENTENA\vault_purged_2026_05_18\NUCLEO_DATA\imageScraperWithScroll.js","Quarantined Legacy","Quarantined","Clean (Extracted)"
