url,intention,show_type,priority,cluster
/artistas/ayuntamientos/teruel,contratar mariachi ayuntamiento teruel,Show Cultural,1.00,B2G
/artistas/ayuntamientos/soria,contratar mariachi ayuntamiento soria,Show Cultural,1.00,B2G
/artistas/ayuntamientos/segovia,contratar mariachi ayuntamiento segovia,Show Cultural,1.00,B2G
/artistas/ayuntamientos/guadalajara,contratar mariachi ayuntamiento guadalajara,Show Cultural,1.00,B2G
/artistas/ayuntamientos/cuenca,contratar mariachi ayuntamiento cuenca,Show Cultural,1.00,B2G
/artistas/centros-de-dia/teruel,mariachi centro de dia teruel precio,Terapéutico,0.98,B2G
/artistas/residencias/teruel,contratar mariachi para mayores teruel,Terapéutico,0.98,B2G
/artistas/provincias/landing-8,intencion-8,Show Privado,0.97,B2G
/artistas/municipios/landing-9,intencion-9,Serenata,0.97,B2G
/artistas/pueblos/landing-10,intencion-10,Show Institucional,0.97,B2G
/artistas/ayuntamientos/landing-11,intencion-11,Show Cultural,0.96,B2G
/artistas/centros-de-dia/landing-12,intencion-12,Show Premium,0.96,B2G
/artistas/residencias/landing-13,intencion-13,Show Privado,0.95,B2G
/artistas/bodas/landing-14,intencion-14,Serenata,0.95,B2G
/artistas/aniversarios/landing-15,intencion-15,Show Institucional,0.95,B2G
/artistas/cumpleanos/landing-16,intencion-16,Show Cultural,0.94,B2G
/artistas/ferias/landing-17,intencion-17,Show Premium,0.94,B2G
/artistas/festivales/landing-18,intencion-18,Show Privado,0.93,B2G
/artistas/provincias/landing-19,intencion-19,Serenata,0.93,B2G
/artistas/municipios/landing-20,intencion-20,Show Institucional,0.93,B2G
/artistas/pueblos/landing-21,intencion-21,Show Cultural,0.92,B2G
/artistas/ayuntamientos/landing-22,intencion-22,Show Premium,0.92,B2G
/artistas/centros-de-dia/landing-23,intencion-23,Show Privado,0.92,B2G
/artistas/residencias/landing-24,intencion-24,Serenata,0.91,B2G
/artistas/bodas/landing-25,intencion-25,Show Institucional,0.91,B2G
/artistas/aniversarios/landing-26,intencion-26,Show Cultural,0.90,B2G
/artistas/cumpleanos/landing-27,intencion-27,Show Premium,0.90,B2G
/artistas/ferias/landing-28,intencion-28,Show Privado,0.90,B2G
/artistas/festivales/landing-29,intencion-29,Serenata,0.89,B2G
/artistas/provincias/landing-30,intencion-30,Show Institucional,0.89,B2G
/artistas/municipios/landing-31,intencion-31,Show Cultural,0.88,B2G
/artistas/pueblos/landing-32,intencion-32,Show Premium,0.88,B2G
/artistas/ayuntamientos/landing-33,intencion-33,Show Privado,0.88,B2G
/artistas/centros-de-dia/landing-34,intencion-34,Serenata,0.87,B2G
/artistas/residencias/landing-35,intencion-35,Show Institucional,0.87,B2G
/artistas/bodas/landing-36,intencion-36,Show Cultural,0.87,B2G
/artistas/aniversarios/landing-37,intencion-37,Show Premium,0.86,B2G
/artistas/cumpleanos/landing-38,intencion-38,Show Privado,0.86,B2G
/artistas/ferias/landing-39,intencion-39,Serenata,0.85,B2G
/artistas/festivales/landing-40,intencion-40,Show Institucional,0.85,B2G
/artistas/provincias/landing-41,intencion-41,Show Cultural,0.85,B2G
